144              
1;1148;2
0;51.8665;415.646;1756.19;0.065336;0.023934;-0.0521166;0.996214;0.7;0.7
4;-285.524;228.773;1552.73;-0.302546;0.891365;0.319095;-0.110059;0.7;0.7
13;-45.852;-1018.1;1704.48;0;0;0;0;0;0
6;-22.6936;430.892;1551.7;0;0;0;0;0.7;0
9;-79.0438;-251.615;1607.08;-0.0170568;0.836618;-0.0258637;0.54691;0.7;0.7
11;-78.9451;-646.342;1631.58;-0.0893522;0.832468;-0.056762;0.543867;0.7;0
2;-164.603;141.232;1726.49;0.438781;-0.485018;0.028764;0.755911;0.7;0.7
1;22.5863;145.737;1721.24;0.065336;0.023934;-0.0521166;0.996214;0.7;0.7
5;345.049;231.604;1560.34;0.290906;0.881206;0.311232;0.204902;0.7;0.7
14;120.536;-1005.07;1719.23;0;0;0;0;0;0
7;83.7913;455.59;1497.35;0;0;0;0;0.7;0
10;136.64;-246.424;1601.03;-0.00505666;-0.440347;0.0341755;0.897163;0.7;0.7
12;159.13;-640.967;1616.52;-0.145153;-0.434944;0.013942;0.888572;0.7;0
3;209.775;150.242;1715.98;0.425979;0.441434;-0.00574153;0.789712;0.7;0.7
8;25.6921;-51.6412;1662.65;0.143626;0.0156096;0.0098876;0.98946;0.7;0.7
1;1149;2
0;50.5174;414.976;1755.61;0.0647064;0.0194981;-0.0483949;0.996539;0.7;0.7
4;-283.648;233.764;1555.35;-0.277907;0.8967;0.317797;-0.133045;0.7;0.7
13;-40.8293;-1017.39;1704.59;0;0;0;0;0;0
6;-10.8004;430.101;1534.48;0;0;0;0;0.7;0
9;-80.316;-251.561;1603.7;-0.0220977;0.834602;-0.0320894;0.549474;0.7;0.7
11;-79.6751;-645.754;1634.48;-0.0938976;0.830619;-0.049218;0.546656;0.7;0
2;-162.883;141.871;1724.81;0.422158;-0.484299;0.00322032;0.766307;0.7;0.7
1;23.4768;145.346;1720.9;0.0647064;0.0194981;-0.0483949;0.996539;0.7;0.7
5;342.072;232.324;1564.87;0.28763;0.881535;0.322702;0.189811;0.7;0.7
14;110.009;-993.296;1736.25;0;0;0;0;0;0
7;81.1041;447.817;1513.87;0;0;0;0;0.7;0
10;136.978;-247.508;1599.13;0.0125048;-0.442996;0.0336136;0.895806;0.7;0.7
12;165.17;-641.885;1602.05;-0.194171;-0.427909;0.0119445;0.882638;0.7;0
3;209.837;148.821;1716.98;0.432281;0.443781;-0.000592722;0.784978;0.7;0.7
8;25.9039;-52.0942;1661.16;0.146294;0.0117499;0.00768496;0.989141;0.7;0.7
1;1150;2
0;49.7368;414.209;1755.64;0.0655582;0.0258487;-0.0439585;0.996545;0.7;0.7
4;-282.053;235.836;1561.75;-0.262912;0.897737;0.32022;-0.14968;0.7;0.7
13;-39.6223;-1021.13;1705.05;0;0;0;0;0;0
6;-23.6343;415.479;1530.01;0;0;0;0;0.7;0
